What is the first derivative of f(x) = x³?;3x²;x²;3x;1/4 x⁴
What does the Pythagorean theorem state in a right-angled triangle?;a² + b² = c²;a + b = c;a² - b² = c²;a/b = c
What is the integral of f(x) = 2x?;x² + C;2;x + C;2x²
How many faces does a standard Rubik's Cube have?;6;8;9;12
What is the value of 15 squared?;225;215;250;125
What is the standard SI unit of force?;Newton;Joule;Watt;Pascal
Which phenomenon describes the increase in amplitude when a system is driven at its natural frequency?;Resonance;Damping;Interference;Diffraction
What is the formula for kinetic energy?;1/2 mv²;mgh;m*a;mc²
Who formulated the three primary laws of motion?;Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler
Which constant is approximately 9.81 m/s² on Earth?;Gravitational acceleration;Speed of light;Planck constant;Universal gravitational constant
What is often referred to as the powerhouse of the cell?;Mitochondrion;Nucleus;Ribosome;Endoplasmic Reticulum
Which molecule carries the primary genetic information in humans?;DNA;RNA;Protein;ATP
What process do plants use to convert sunlight into energy?;Photosynthesis;Cellular Respiration;Fermentation;Glycolysis
How many chromosomes are in a typical human somatic cell?;46;23;24;48
Who is considered the father of modern genetics?;Gregor Mendel;Charles Darwin;Louis Pasteur;Alexander Fleming
In what year did the Berlin Wall fall?;1989;1990;1988;1991
Who was the first President of the United States?;George Washington;Thomas Jefferson;Abraham Lincoln;John Adams
The French Revolution began in which year?;1789;1776;1812;1799
Which treaty officially ended World War I?;Treaty of Versailles;Treaty of Paris;Treaty of Tordesillas;Treaty of Westphalia
Who was the first Roman Emperor after the fall of the Republic?;Augustus;Julius Caesar;Nero;Constantine
